Seq_number	New_name	Site	Bio_rep	INDO_REGION	Lat_dec	Long_dec	Sample_Control	Control_Type	Site_Viz
bio_12S_TTE.1.1.S101.L001	TTE_1_1	TERNATE_1	A	TERNATE	0.724033333	127.3767	Sample	Sample	TERNATE_1
bio_12S_TTE.1.2.S102.L001	TTE_1_2	TERNATE_1	B	TERNATE	0.724033333	127.3767	Sample	Sample	TERNATE_1
bio_12S_TTE.1.3.S103.L001	TTE_1_3	TERNATE_1	C	TERNATE	0.724033333	127.3767	Sample	Sample	TERNATE_1
TTE.2.1.S105.L001	TTE_2_1	TERNATE_2	A	TERNATE	0.742033333	127.369583	Sample	Sample	TERNATE_2
TTE.2.2.S106.L001	TTE_2_2	TERNATE_2	B	TERNATE	0.742033333	127.369583	Sample	Sample	TERNATE_2
TTE.2.3.S107.L001	TTE_2_3	TERNATE_2	C	TERNATE	0.742033333	127.369583	Sample	Sample	TERNATE_2
POOL.ELAS.97123.9.S146.L001	TTE_2_1	TERNATE_2	A	TERNATE	0.742033333	127.369583	Sample	Sample	TERNATE_2
POOL.ELAS.97123.10.S147.L001	TTE_2_2	TERNATE_2	B	TERNATE	0.742033333	127.369583	Sample	Sample	TERNATE_2
POOL.ELAS.97123.11.S148.L001	TTE_2_3	TERNATE_2	C	TERNATE	0.742033333	127.369583	Sample	Sample	TERNATE_2
bio_12S_TTE.2.1.S104.L001	TTE_2_1	TERNATE_2	A	TERNATE	0.742033333	127.369583	Sample	Sample	TERNATE_2
bio_12S_TTE.2.2.S105.L001	TTE_2_2	TERNATE_2	B	TERNATE	0.742033333	127.369583	Sample	Sample	TERNATE_2
bio_12S_TTE.2.3.S106.L001	TTE_2_3	TERNATE_2	C	TERNATE	0.742033333	127.369583	Sample	Sample	TERNATE_2
TTE.3.1.S108.L001	TTE_3_1	TERNATE_3	A	TERNATE	0.7588	127.362167	Sample	Sample	TERNATE_3
TTE.3.2.S109.L001	TTE_3_2	TERNATE_3	B	TERNATE	0.7588	127.362167	Sample	Sample	TERNATE_3
TTE.3.3.S110.L001	TTE_3_3	TERNATE_3	C	TERNATE	0.7588	127.362167	Sample	Sample	TERNATE_3
POOL.ELAS.97123.12.S149.L001	TTE_3_1	TERNATE_3	A	TERNATE	0.7588	127.362167	Sample	Sample	TERNATE_3
POOL.ELAS.97123.13.S150.L001	TTE_3_2	TERNATE_3	B	TERNATE	0.7588	127.362167	Sample	Sample	TERNATE_3
POOL.ELAS.97123.14.S151.L001	TTE_3_3	TERNATE_3	C	TERNATE	0.7588	127.362167	Sample	Sample	TERNATE_3
bio_12S_TTE.3.1.S107.L001	TTE_3_1	TERNATE_3	A	TERNATE	0.7588	127.362167	Sample	Sample	TERNATE_3
bio_12S_TTE.3.2.S108.L001	TTE_3_2	TERNATE_3	B	TERNATE	0.7588	127.362167	Sample	Sample	TERNATE_3
bio_12S_TTE.3.3.S109.L001	TTE_3_3	TERNATE_3	C	TERNATE	0.7588	127.362167	Sample	Sample	TERNATE_3
Undetermined.S0.L001	Undetermined	Undetermined	NA	Undetermined	NA	NA	Sample	Sample	Undetermined
bio_12S_Undetermined.S0.L001	Undetermined	Undetermined	NA	Undetermined	NA	NA	Sample	Sample	Undetermined
WKTB.01.1.S111.L001	WKTB_01_1	WAKATOBI_1	A	WAKATOBI	-5.4188	123.874667	Sample	Sample	WAKATOBI_1
WKTB.01.2.S112.L001	WKTB_01_2	WAKATOBI_1	B	WAKATOBI	-5.4188	123.874667	Sample	Sample	WAKATOBI_1
POOL.ELAS.97123.15.S152.L001	WKTB_01_1	WAKATOBI_1	A	WAKATOBI	-5.4188	123.874667	Sample	Sample	WAKATOBI_1
POOL.ELAS.97123.16.S153.L001	WKTB_01_2	WAKATOBI_1	B	WAKATOBI	-5.4188	123.874667	Sample	Sample	WAKATOBI_1
bio_12S_WKTB.01.1.S110.L001	WKTB_01_1	WAKATOBI_1	A	WAKATOBI	-5.4188	123.874667	Sample	Sample	WAKATOBI_1
bio_12S_WKTB.01.2.S111.L001	WKTB_01_2	WAKATOBI_1	B	WAKATOBI	-5.4188	123.874667	Sample	Sample	WAKATOBI_1
WKTB.2.1.S113.L001	WKTB_2_1	WAKATOBI_2	A	WAKATOBI	-5.429566667	123.8829	Sample	Sample	WAKATOBI_2
WKTB.2.2.S114.L001	WKTB_2_2	WAKATOBI_2	B	WAKATOBI	-5.429566667	123.8829	Sample	Sample	WAKATOBI_2
WKTB.2.3.S115.L001	WKTB_2_3	WAKATOBI_2	C	WAKATOBI	-5.429566667	123.8829	Sample	Sample	WAKATOBI_2
POOL.ELAS.97123.17.S154.L001	WKTB_2_1	WAKATOBI_2	A	WAKATOBI	-5.429566667	123.8829	Sample	Sample	WAKATOBI_2
POOL.ELAS.97123.18.S155.L001	WKTB_2_2	WAKATOBI_2	B	WAKATOBI	-5.429566667	123.8829	Sample	Sample	WAKATOBI_2
POOL.ELAS.97123.19.S156.L001	WKTB_2_3	WAKATOBI_2	C	WAKATOBI	-5.429566667	123.8829	Sample	Sample	WAKATOBI_2
bio_12S_WKTB.2.1.S112.L001	WKTB_2_1	WAKATOBI_2	A	WAKATOBI	-5.429566667	123.8829	Sample	Sample	WAKATOBI_2
bio_12S_WKTB.2.2.S113.L001	WKTB_2_2	WAKATOBI_2	B	WAKATOBI	-5.429566667	123.8829	Sample	Sample	WAKATOBI_2
bio_12S_WKTB.2.3.S114.L001	WKTB_2_3	WAKATOBI_2	C	WAKATOBI	-5.429566667	123.8829	Sample	Sample	WAKATOBI_2
WKTB.3.1.S116.L001	WKTB_3_1	WAKATOBI_3	A	WAKATOBI	-5.4436	123.879333	Sample	Sample	WAKATOBI_3
WKTB.3.2.S117.L001	WKTB_3_2	WAKATOBI_3	B	WAKATOBI	-5.4436	123.879333	Sample	Sample	WAKATOBI_3
WKTB.3.3.S118.L001	WKTB_3_3	WAKATOBI_3	C	WAKATOBI	-5.4436	123.879333	Sample	Sample	WAKATOBI_3
POOL.ELAS.97123.20.S157.L001	WKTB_3_1	WAKATOBI_3	A	WAKATOBI	-5.4436	123.879333	Sample	Sample	WAKATOBI_3
POOL.ELAS.97123.21.S158.L001	WKTB_3_2	WAKATOBI_3	B	WAKATOBI	-5.4436	123.879333	Sample	Sample	WAKATOBI_3
POOL.ELAS.97123.22.S159.L001	WKTB_3_3	WAKATOBI_3	C	WAKATOBI	-5.4436	123.879333	Sample	Sample	WAKATOBI_3
bio_12S_WKTB.3.1.S115.L001	WKTB_3_1	WAKATOBI_3	A	WAKATOBI	-5.4436	123.879333	Sample	Sample	WAKATOBI_3
bio_12S_WKTB.3.2.S116.L001	WKTB_3_2	WAKATOBI_3	B	WAKATOBI	-5.4436	123.879333	Sample	Sample	WAKATOBI_3
bio_12S_WKTB.3.3.S117.L001	WKTB_3_3	WAKATOBI_3	C	WAKATOBI	-5.4436	123.879333	Sample	Sample	WAKATOBI_3
WM.1.S119.L001	WM_1	WEST_MANSUAR	A	RAJA_AMPAT	-0.6051	130.55645	Sample	Sample	WEST_MANSUAR
WM.2.S120.L001	WM_2	WEST_MANSUAR	B	RAJA_AMPAT	-0.6051	130.55645	Sample	Sample	WEST_MANSUAR
WM.3.S121.L001	WM_3	WEST_MANSUAR	C	RAJA_AMPAT	-0.6051	130.55645	Sample	Sample	WEST_MANSUAR
POOL.ELAS.97123.23.S160.L001	WM_1	WEST_MANSUAR	A	RAJA_AMPAT	-0.6051	130.55645	Sample	Sample	WEST_MANSUAR
POOL.ELAS.97123.24.S161.L001	WM_2	WEST_MANSUAR	B	RAJA_AMPAT	-0.6051	130.55645	Sample	Sample	WEST_MANSUAR
POOL.ELAS.97123.25.S162.L001	WM_3	WEST_MANSUAR	C	RAJA_AMPAT	-0.6051	130.55645	Sample	Sample	WEST_MANSUAR
bio_12S_WM.1.S118.L001	WM_1	WEST_MANSUAR	A	RAJA_AMPAT	-0.6051	130.55645	Sample	Sample	WEST_MANSUAR
bio_12S_WM.2.S119.L001	WM_2	WEST_MANSUAR	B	RAJA_AMPAT	-0.6051	130.55645	Sample	Sample	WEST_MANSUAR
bio_12S_WM.3.S120.L001	WM_3	WEST_MANSUAR	C	RAJA_AMPAT	-0.6051	130.55645	Sample	Sample	WEST_MANSUAR
