"seq_number","Site","Bio_repB","Bio_repC","Bio_repA","Bio_repD","ndetections","max_Occupancy_prob","sum.taxonomy"
"merged_CO1_1","Anitas_Garden",1,1,NA,NA,2,0.940154147448802,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","AER_PERANG",1,1,1,NA,3,0.99088408654528,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","BATU_ANGUS",1,1,1,NA,3,0.99088408654528,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","BATU_MERAH",1,1,1,1,4,0.996668119488682,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","PULAU_PETONG",1,1,1,NA,3,0.99088408654528,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","CALIFORDIA_DREAMING",1,1,1,NA,3,0.99088408654528,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","CAPE_KRI",NA,1,1,NA,2,0.942418332645899,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","KRI_LAGOON",1,1,NA,NA,2,0.940154147448802,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","KAMPUNG_PAUDEAN",1,1,1,NA,3,0.99088408654528,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","KABUI_STRAIT_I",1,1,1,NA,3,0.99088408654528,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
