"","term","contrast","null.value","estimate","conf.low","conf.high","adj.p.value"
"1","group","Batam Bintam-Aceh",0,-0.225410558370392,-0.303919096008186,-0.146902020732597,1.16551213125149e-12
"2","group","Derawan-Aceh",0,0.0259757048092714,-0.0468952102490485,0.0988466198675912,0.935460181691146
"3","group","Lembeh Strait-Aceh",0,0.0341269289888205,-0.025481196554719,0.0937350545323601,0.60485306230777
"4","group","Raja Ampat-Aceh",0,0.0489049408150842,-0.0119075109461707,0.109717392576339,0.202273108821017
"5","group","Ternate-Aceh",0,0.0195434315018571,-0.0615398375131495,0.100626700516864,0.990864972835268
"6","group","Wakatobi-Aceh",0,0.0457241073509983,-0.0384669198094341,0.129915134511431,0.662868923070196
"7","group","Derawan-Batam Bintam",0,0.251386263179663,0.170498140702739,0.332274385656587,1.61204383175573e-13
"8","group","Lembeh Strait-Batam Bintam",0,0.259537487359212,0.190357672910058,0.328717301808366,9.65894031423886e-14
"9","group","Raja Ampat-Batam Bintam",0,0.274315499185476,0.204095328396592,0.344535669974359,8.32667268468867e-14
"10","group","Ternate-Batam Bintam",0,0.244953989872249,0.156595545960165,0.333312433784333,5.01543251374414e-12
"11","group","Wakatobi-Batam Bintam",0,0.27113466572139,0.179915988079507,0.362353343363272,3.46167539078124e-13
"12","group","Lembeh Strait-Derawan",0,0.00815122417954917,-0.0545578382168166,0.0708602865759149,0.999713013074866
"13","group","Raja Ampat-Derawan",0,0.0229292360058129,-0.0409256946184692,0.086784166630095,0.933256954123985
"14","group","Ternate-Derawan",0,-0.00643227330741425,-0.0898216874436033,0.0769571408287748,0.999986609142013
"15","group","Wakatobi-Derawan",0,0.0197484025417269,-0.0666658724951302,0.106162677578584,0.993130915029474
"16","group","Raja Ampat-Lembeh Strait",0,0.0147780118262637,-0.0333926279287716,0.062948651581299,0.968442295581315
"17","group","Ternate-Lembeh Strait",0,-0.0145834974869634,-0.0866720039172839,0.0575050089433571,0.996467111950258
"18","group","Wakatobi-Lembeh Strait",0,0.0115971783621778,-0.0639699130170933,0.0871642697414488,0.999253140706906
"19","group","Ternate-Raja Ampat",0,-0.0293615093132271,-0.102448980317189,0.0437259616907346,0.890407234843967
"20","group","Wakatobi-Raja Ampat",0,-0.00318083346408593,-0.0797014905308133,0.0733398236026414,0.999999663469453
"21","group","Wakatobi-Ternate",0,0.0261806758491412,-0.0672631745791703,0.119624526277453,0.979978983477683
