"seq_number","Site","Bio_repB","Bio_repC","Bio_repA","Bio_repD","ndetections","max_Occupancy_prob","sum.taxonomy"
"merged_CO1_1","Anitas_Garden",1,1,NA,NA,2,0.942647661269126,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","AER_PERANG",1,1,1,NA,3,0.991394331373236,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","BATU_ANGUS",1,1,1,NA,3,0.991394331373236,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","BATU_MERAH",1,1,1,1,4,0.996402214706404,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","PULAU_PETONG",1,1,1,NA,3,0.991394331373236,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","CALIFORDIA_DREAMING",1,1,1,NA,3,0.991394331373236,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","CAPE_KRI",NA,1,1,NA,2,0.943574924158672,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","KRI_LAGOON",1,1,NA,NA,2,0.942647661269126,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","KAMPUNG_PAUDEAN",1,1,1,NA,3,0.991394331373236,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","KABUI_STRAIT_I",1,1,1,NA,3,0.991394331373236,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","KABUI_STRAIT_II",1,1,1,NA,3,0.991394331373236,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","KABUI_STRAIT_III",1,1,1,NA,3,0.991394331373236,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","MELISSAS_GARDEN",1,1,1,NA,3,0.991394331373236,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","PANTAI_LABUHAN",NA,NA,1,NA,1,0.908532999283564,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","PELATAK",1,1,1,NA,3,0.991394331373236,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","PULAU_PUTUS",1,1,1,NA,3,0.991394331373236,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","PANTAI_PARIGI",1,1,1,NA,3,0.991394331373236,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","BENTENG",1,1,1,NA,3,0.991394331373236,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","JABOI",1,1,1,NA,3,0.991394331373236,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","SUMUR_TIGA",1,1,1,NA,3,0.991394331373236,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","RUBIAH_SEA_GARDEN",1,1,1,NA,3,0.991394331373236,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","PULAU_SEULAKO",1,1,1,NA,3,0.991394331373236,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","SECRET_LAGOON",1,1,1,NA,3,0.991394331373236,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","SNAPPER_POINT",1,1,1,1,4,0.996402214706404,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","SARDINE_REEF",1,1,1,NA,3,0.991394331373236,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","SHIP_WRECK",1,1,1,NA,3,0.991394331373236,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","TELUK_KEMBAHU",1,NA,1,NA,2,0.97478349293904,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","TANJUNG_KUSU_KUSU",1,1,1,NA,3,0.991394331373236,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","TANJUNG_LAMPU",1,1,1,NA,3,0.991394331373236,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","TERNATE_1",1,1,1,NA,3,0.991394331373236,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","WEST_MANSUAR",1,1,1,NA,3,0.991394331373236,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_10","Anitas_Garden",1,1,1,NA,3,0.991394331373236,""
"merged_CO1_10","AER_PERANG",1,1,1,NA,3,0.991394331373236,""
"merged_CO1_10","BATU_ANGUS",1,1,1,NA,3,0.991394331373236,""
"merged_CO1_10","BATU_MERAH",1,NA,1,1,3,0.963474943921885,""
"merged_CO1_10","CALIFORDIA_DREAMING",1,1,1,NA,3,0.991394331373236,""
"merged_CO1_10","CAPE_KRI",1,1,1,NA,3,0.991394331373236,""
"merged_CO1_10","KRI_LAGOON",1,1,1,NA,3,0.991394331373236,""
"merged_CO1_10","KAMPUNG_PAUDEAN",1,1,1,NA,3,0.991394331373236,""
"merged_CO1_10","KABUI_STRAIT_I",1,1,1,NA,3,0.991394331373236,""
"merged_CO1_10","KABUI_STRAIT_II",1,1,1,NA,3,0.991394331373236,""
"merged_CO1_10","KABUI_STRAIT_III",1,1,1,NA,3,0.991394331373236,""
"merged_CO1_10","MELISSAS_GARDEN",1,1,1,NA,3,0.991394331373236,""
"merged_CO1_10","PANTAI_LABUHAN",NA,NA,1,NA,1,0.908532999283564,""
"merged_CO1_10","PULAU_PUTUS",1,1,1,NA,3,0.991394331373236,""
"merged_CO1_10","PANTAI_PARIGI",1,1,1,NA,3,0.991394331373236,""
"merged_CO1_10","BENTENG",1,1,1,NA,3,0.991394331373236,""
"merged_CO1_10","JABOI",1,1,1,NA,3,0.991394331373236,""
"merged_CO1_10","SUMUR_TIGA",1,1,1,NA,3,0.991394331373236,""
"merged_CO1_10","RUBIAH_SEA_GARDEN",1,1,1,NA,3,0.991394331373236,""
"merged_CO1_10","PULAU_SEULAKO",1,1,1,NA,3,0.991394331373236,""
"merged_CO1_10","SECRET_LAGOON",1,1,1,NA,3,0.991394331373236,""
"merged_CO1_10","SARDINE_REEF",1,1,1,NA,3,0.991394331373236,""
"merged_CO1_10","TELUK_KEMBAHU",1,NA,1,NA,2,0.97478349293904,""
"merged_CO1_10","TANJUNG_KUSU_KUSU",1,1,1,NA,3,0.991394331373236,""
"merged_CO1_10","TANJUNG_LAMPU",1,1,1,NA,3,0.991394331373236,""
"merged_CO1_10","WAKATOBI_3",NA,1,1,NA,2,0.943574924158672,""
"merged_CO1_10","WEST_MANSUAR",1,1,1,NA,3,0.991394331373236,""
"merged_CO1_100","Anitas_Garden",1,1,1,NA,3,0.991394331373236,""
"merged_CO1_100","AER_PERANG",1,1,1,NA,3,0.991394331373236,""
"merged_CO1_100","BATU_ANGUS",NA,1,1,NA,2,0.943574924158672,""
"merged_CO1_100","CALIFORDIA_DREAMING",1,1,1,NA,3,0.991394331373236,""
"merged_CO1_100","CAPE_KRI",1,1,1,NA,3,0.991394331373236,""
"merged_CO1_100","KRI_LAGOON",1,1,NA,NA,2,0.942647661269126,""
"merged_CO1_100","KAMPUNG_PAUDEAN",1,1,NA,NA,2,0.942647661269126,""
"merged_CO1_100","KABUI_STRAIT_I",1,1,1,NA,3,0.991394331373236,""
"merged_CO1_100","KABUI_STRAIT_III",1,1,NA,NA,2,0.942647661269126,""
"merged_CO1_100","MELISSAS_GARDEN",1,1,1,NA,3,0.991394331373236,""
