"","seq_number","sum.taxonomy"
"98","merged_CO1_490","Eukaryota;Bacillariophyta;Coscinodiscophyceae;;;;"
"99","merged_CO1_497",""
"100","merged_CO1_504",""
"101","merged_CO1_509",""
"102","merged_CO1_524",""
"103","merged_CO1_529",""
"104","merged_CO1_538",""
"105","merged_CO1_549",""
"106","merged_CO1_553",""
"107","merged_CO1_556","Eukaryota;;Oomycetes;Pythiales;Pythiaceae;;"
"108","merged_CO1_572",""
"109","merged_CO1_581",""
"110","merged_CO1_613","Eukaryota;Arthropoda;Hexanauplia;Calanoida;Calocalanidae;Calocalanus;Calocalanus sp. 1 AC-2013"
"111","merged_CO1_614",""
"112","merged_CO1_616",""
"113","merged_CO1_621",""
"114","merged_CO1_630","Eukaryota;Arthropoda;Hexanauplia;Calanoida;Paracalanidae;Delibus;"
"115","merged_CO1_634","Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;Candidatus Pelagibacter sp. HIMB1321"
"116","merged_CO1_644",""
"117","merged_CO1_668",""
"118","merged_CO1_682","Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Nitzschia;Nitzschia cf. promare"
"119","merged_CO1_684",""
"120","merged_CO1_688",""
"121","merged_CO1_700",""
"122","merged_CO1_715",""
"123","merged_CO1_716",""
"124","merged_CO1_718",""
"125","merged_CO1_744","Eukaryota;NA;Haptophyceae;Phaeocystales;Phaeocystaceae;Phaeocystis;Phaeocystis pouchetii"
"126","merged_CO1_751","Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;Candidatus Pelagibacter sp. HIMB1321"
"127","merged_CO1_753","Eukaryota;NA;Synurophyceae;Ochromonadales;Ochromonadaceae;Cornospumella;Cornospumella fuschlensis"
"128","merged_CO1_756","Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;NA;alpha proteobacterium HIMB5"
"129","merged_CO1_769",""
"130","merged_CO1_776","Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Sertulariidae;Xingyurella;Xingyurella xingyuarum"
"131","merged_CO1_793",""
"132","merged_CO1_806","Eukaryota;Arthropoda;Arachnida;Sarcoptiformes;;;"
"133","merged_CO1_821","Eukaryota;Chlorophyta;Nephroselmidophyceae;NA;NA;Nephroselmis;Nephroselmis olivacea"
"134","merged_CO1_877","Eukaryota;Mollusca;Gastropoda;;Cerithiidae;Cerithium;"
"135","merged_CO1_879",""
"136","merged_CO1_913","Eukaryota;NA;Haptophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina sp. NIES-1333"
"137","merged_CO1_971",""
"138","merged_CO1_1012","Eukaryota;Annelida;Polychaeta;;;;"
"139","merged_CO1_1034","Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Nitzschia;Nitzschia frustulum"
"140","merged_CO1_1065",""
"141","merged_CO1_1080",""
"142","merged_CO1_1082",""
"143","merged_CO1_1172","Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas pusilla"
"144","merged_CO1_1189","Eukaryota;;;;;;"
"145","merged_CO1_1198","Eukaryota;;Oomycetes;Pythiales;Pythiaceae;Pythium;"
"146","merged_CO1_1210","Eukaryota;Arthropoda;Insecta;;;;"
"147","merged_CO1_1226","Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Cylindrotheca;Cylindrotheca closterium"
"148","merged_CO1_1263",""
"149","merged_CO1_1318",""
"150","merged_CO1_1337",""
"151","merged_CO1_1351",""
"152","merged_CO1_1370","Eukaryota;Arthropoda;Hexanauplia;Poecilostomatoida;Corycaeidae;Corycaeus;NA"
"153","merged_CO1_1406","Eukaryota;Cnidaria;Hydrozoa;Leptothecata;;;"
"154","merged_CO1_1424","Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas pusilla"
"155","merged_CO1_1445",""
"156","merged_CO1_1460",""
"157","merged_CO1_1490",""
"158","merged_CO1_1493","Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas pusilla"
"159","merged_CO1_1504",""
"160","merged_CO1_1505",""
"161","merged_CO1_1512","Eukaryota;;;Himatismenida;Cochliopodiidae;Cochliopodium;Cochliopodium gallicum"
"162","merged_CO1_1525",""
"163","merged_CO1_1537",""
"164","merged_CO1_1572",""
"165","merged_CO1_1609","Eukaryota;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;"
"166","merged_CO1_1653",""
"167","merged_CO1_1675",""
"168","merged_CO1_1676",""
"169","merged_CO1_1844",""
"170","merged_CO1_1879",""
"171","merged_CO1_1880","Eukaryota;;;;;;"
"172","merged_CO1_1903","Eukaryota;Onychophora;Udeonychophora;Euonychophora;Peripatopsidae;Peripatopsis;Peripatopsis overbergiensis"
"173","merged_CO1_1919","Eukaryota;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Neonectria;Neonectria ditissima"
"174","merged_CO1_1922",""
"175","merged_CO1_1953","Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Diphyidae;Lensia;Lensia conoidea"
"176","merged_CO1_1963","Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;Pseudo-nitzschia sabit"
