sum.taxonomy	bio_12S_AG.1.S1.L001	bio_12S_AG.2.S2.L001	bio_12S_AG.3.S3.L001	bio_12S_AP.1.S4.L001	bio_12S_AP.2.S5.L001	bio_12S_AP.3.S6.L001	bio_12S_BA.1.S7.L001	bio_12S_BA.2.S8.L001	bio_12S_BA.3.S9.L001	bio_12S_BLANK.DR.S10.L001	bio_12S_BLANK.LS.S11.L001	bio_12S_BLANK.RA.S12.L001	bio_12S_BLANK.SB.S13.L001	bio_12S_BM.1.S14.L001	bio_12S_BM.1.star.S122.L001	bio_12S_BM.2.S15.L001	bio_12S_BM.3.S16.L001	bio_12S_BTM01.1.S17.L001	bio_12S_BTM01.2.S18.L001	bio_12S_BTM01.3.S19.L001	bio_12S_BTM01.4.S20.L001	bio_12S_BTM02.1.S21.L001	bio_12S_BTM02.2.S22.L001	bio_12S_BTM02.3.S23.L001	bio_12S_BTM03.1.S24.L001	bio_12S_BTM03.2.S25.L001	bio_12S_BTM03.3.S26.L001	bio_12S_CC.1.S27.L001	bio_12S_CC.2.S28.L001	bio_12S_CC.3.S29.L001	bio_12S_CD.1.S30.L001	bio_12S_CD.2.S31.L001	bio_12S_CD.3.S32.L001	bio_12S_CK.1.S33.L001	bio_12S_CK.2.S34.L001	bio_12S_CK.3.S35.L001	bio_12S_INDO.0132.neg.S125.L001	bio_12S_INDO.3364.neg.S126.L001	bio_12S_INDO.6596.neg.S127.L001	bio_12S_INDO.97123.neg.S123.L001	bio_12S_INDO.pos.ctrl.S124.L001	bio_12S_KL.1.S36.L001	bio_12S_KL.2.S37.L001	bio_12S_KL.3.S38.L001	bio_12S_KPP.1.S39.L001	bio_12S_KPP.2.S40.L001	bio_12S_KPP.3.S41.L001	bio_12S_KS.S01.1.S42.L001	bio_12S_KS.S01.2.S43.L001	bio_12S_KS.S01.3.S44.L001	bio_12S_KS.S02.1.S45.L001	bio_12S_KS.S02.2.S46.L001	bio_12S_KS.S02.3.S47.L001	bio_12S_KS.S03.2.S48.L001	bio_12S_KS.S03.3.S49.L001	bio_12S_MG.1.S50.L001	bio_12S_MG.2.S51.L001	bio_12S_MG.3.S52.L001	bio_12S_PL.1.S53.L001	bio_12S_PL.2.S54.L001	bio_12S_PL.3.S55.L001	bio_12S_PLK.1.S56.L001	bio_12S_PLK.2.S57.L001	bio_12S_PLK.3.S58.L001	bio_12S_PP.1.S59.L001	bio_12S_PP.2.S60.L001	bio_12S_PP.3.S61.L001	bio_12S_PPG.1.S62.L001	bio_12S_PPG.2.S63.L001	bio_12S_PPG.3.S64.L001	bio_12S_SB.01.1.S65.L001	bio_12S_SB.01.2.S66.L001	bio_12S_SB.01.3.S67.L001	bio_12S_SB.02.1.S68.L001	bio_12S_SB.02.2.S69.L001	bio_12S_SB.02.3.S70.L001	bio_12S_SB.03.1.S71.L001	bio_12S_SB.03.2.S72.L001	bio_12S_SB.03.3.S73.L001	bio_12S_SB.04.1.S74.L001	bio_12S_SB.04.2.S75.L001	bio_12S_SB.04.3.S76.L001	bio_12S_SB.05.1.S77.L001	bio_12S_SB.05.2.S78.L001	bio_12S_SB.05.3.S79.L001	bio_12S_SL.1.S80.L001	bio_12S_SL.2.S81.L001	bio_12S_SL.3.S82.L001	bio_12S_SP.1.S83.L001	bio_12S_SP.1.star.S121.L001	bio_12S_SP.2.S84.L001	bio_12S_SP.3.S85.L001	bio_12S_SR.1.S86.L001	bio_12S_SR.2.S87.L001	bio_12S_SR.3.S88.L001	bio_12S_SW.1.S89.L001	bio_12S_SW.2.S90.L001	bio_12S_SW.3.S91.L001	bio_12S_TK.1.S92.L001	bio_12S_TK.2.S93.L001	bio_12S_TK.3.S94.L001	bio_12S_TKS.1.S95.L001	bio_12S_TKS.2.S96.L001	bio_12S_TKS.3.S97.L001	bio_12S_TL.1.S98.L001	bio_12S_TL.2.S99.L001	bio_12S_TL.3.S100.L001	bio_12S_TTE.1.1.S101.L001	bio_12S_TTE.1.2.S102.L001	bio_12S_TTE.1.3.S103.L001	bio_12S_TTE.2.1.S104.L001	bio_12S_TTE.2.2.S105.L001	bio_12S_TTE.2.3.S106.L001	bio_12S_TTE.3.1.S107.L001	bio_12S_TTE.3.2.S108.L001	bio_12S_TTE.3.3.S109.L001	bio_12S_WKTB.01.1.S110.L001	bio_12S_WKTB.01.2.S111.L001	bio_12S_WKTB.2.1.S112.L001	bio_12S_WKTB.2.2.S113.L001	bio_12S_WKTB.2.3.S114.L001	bio_12S_WKTB.3.1.S115.L001	bio_12S_WKTB.3.2.S116.L001	bio_12S_WKTB.3.3.S117.L001	bio_12S_WM.1.S118.L001	bio_12S_WM.2.S119.L001	bio_12S_WM.3.S120.L001
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;Acanthurus xanthopterus	0	0	0	0	0	0	0	0	0	0	0	0	0	976	0	543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Ctenochaetus;	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	738	0	0	0	0	0	0	0	0	0	0	0	0	5490	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1257	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	273	0	0	0	0	1	0	0	0	0	0	0	0	7	0	0	0	1	2	0	0	0	0	250	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Ctenochaetus;Ctenochaetus binotatus	0	1	0	0	0	0	0	3742	502	0	0	0	0	0	0	0	795	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3485	3	4950	0	833	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1557	0	0	1405	0	0	0	0	0	0	0	2049	0	0	1559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3204	0	0	0	6609	0	955	0	0	0	233	0	0	0	0	0	0	631	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1259	0	0	0
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Ctenochaetus;Ctenochaetus flavicauda	0	0	0	0	0	0	0	0	595	1	0	0	0	0	0	985	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	832	8183	12258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4614	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Ctenochaetus;Ctenochaetus striatus	0	1	5541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2426	2455	1625	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1213	373	410	0	0	1	0	0	0	0	0	0	0	0	3655	759	3505	10339	0	0	0	0	0	0	0	2807	0	0	0	0	0	0	0	0	2181	0	0	0	0	0	0	0	0	0	0	0	1	0	4529	768	0	0	0	0	0	1090	75	0	270	0	0	0	27596	0	0	0
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;NA;	0	1	0	0	0	0	0	4356	322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7988	3395	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1396	0	720	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	569	0	0	0	0	0	0	0	0	0	0	0	0	2079	0	1	0	0	1166	0	0	0	0	4317	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Naso;	0	0	0	0	2984	0	5477	0	0	0	0	0	0	187	0	6466	2938	0	0	0	0	0	0	0	0	0	0	0	4	729	0	0	299	0	4549	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	11	0	0	0	0	0	1	0	0	0	0	0	0	1	558	0	0	0	1719	0	0	1841	0	4031	738	2178	4225	0	0	0	0	0	0	3557	0	1917	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9322	0	12	0	0	0	0	0	0	0	0	0	6	2
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Naso;Naso brachycentron	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	0	0	453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Naso;Naso lituratus	0	0	0	0	0	0	1	3304	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	762	0	0	0	0	0	0	0	0	0	0	9702	0	5861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2243	0	0	0	0	0	0	0	0	0	1768	0	0	1504	0	0	0	1	0	0	1828	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1451	0	1123	0	0	0	0	0	1400	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Naso;Naso tergus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2169	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Naso;Naso thynnoides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7695	7057	0	0	8430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20048	0	0	0	0	0	1222	0	0	0	0	0	0	1553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1766	0	764	486	0	0	0	1258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4873	2929
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Naso;Naso unicornis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	579	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Naso;Naso vlamingii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2071	4424	0	0	0	0	0	0	0	0	0	0	0	0	0	1225	0	0	0	0	0	0	0	0	513	1747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2353	0	0	535	490	0	0	0	0	0	0	0	1	0	0	810	9963	0	0	5128	0	1	8129	0	0	0	0	0	0	0	1	0	2	0
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Zebrasoma;	0	0	0	0	0	0	0	567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6679	0	0	0	1041	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Zebrasoma;Zebrasoma flavescens	0	0	0	0	0	0	1846	0	1045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1789	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	565	0	0	0	0	0	0	0	0	0	0	1383	0	620	0	0	10	0	0	0	2	0	0	1670	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	608	6782	10568	0	0	14129	0	0	0	0	0	0	1	0	0	46	0	0	0	0
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Zanclidae;Zanclus;Zanclus cornutus	0	0	0	0	0	0	0	3947	359	0	0	0	0	0	0	938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1965	0	891	531	596	6	0	0	0	0	0	0	3	0	0	0	0	0	0	384	2022	322	0	0	0	0	0	0	158	0	0	0	0	0	0	746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	407	6229	442	0	0	0	0	0	16028	3261	749	0	473	4400	4114	0	0	0	4591	0	0	0	26	320	0	1215	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Anabantiformes;Channidae;Channa;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Anabantiformes;Channidae;Channa;Channa marulius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Anabantiformes;Osphronemidae;Osphronemus;Osphronemus goramy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Anguilliformes;Anguillidae;Anguilla;Anguilla marmorata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
